"ObjectId","Lat","Lon","Alt","name","description","Street Custom","Suppport Type","SupportCondition","SignShareSupport","SignAccessibility","Sign Name","SignHeighWidth","Sign size custom","Sign text","SignCondition","SignBackingMaterial","SignFaceDirection","Sign mounting height","Barcode","R02_BG","R02_FG","R05_BG","R05_FG","notes","changed","pictureFolder","pictureName","picturePath","created","altitude","accuracy"
191,43.375107161055894,-79.74140767617973,52.123828125,"WPT 191","Burlington ","0","u channel","Good","No","Yes","stop","Default","","","Very good","al","south","86","b03813","182","615","94","335","","","191","191_2017-10-23 15-29-38.png","/storage/emulated/0/MapIt/Pictures/Burlington /191/191_2017-10-23 15-29-38.png","2017-10-23-15-29-23","52.1238","0.6328"
190,43.37521514304717,-79.74123368541768,53.967822265625,"WPT 190","Burlington ","0","2in metal pole","Very good","Yes","No","name","Default","","mericourt rd","Very good","al","north","","","","","","","","","","","","2017-10-23-15-28-47","53.9678","0.8009"
189,43.37521523087071,-79.74120551954002,53.150927734375,"WPT 189","Burlington ","0","hydro pole","Very good","No","No","name","Default","","Hampton heath rd","Very good","al","east","","","","","","","","","189","189_2017-10-23 15-28-24.png","/storage/emulated/0/MapIt/Pictures/Burlington /189/189_2017-10-23 15-28-24.png","2017-10-23-15-28-09","53.1509","1.2293"
188,43.37531737788959,-79.74141319225055,53.41923828125,"WPT 188","Burlington ","0","u channel","Very good","No","No","nopark","Default","","","Good","al","north","","","","","","","","","188","188_2017-10-23 15-27-34.png","/storage/emulated/0/MapIt/Pictures/Burlington /188/188_2017-10-23 15-27-34.png","2017-10-23-15-27-21","53.4192","0.6296"
187,43.37533774696658,-79.74134285510809,50.936328125,"WPT 187","Burlington ","0","u channel","Fair","No","Yes","stop","Default","","","Good","al","east","86","b03812","158","605","85.9","288","","","187","187_2017-10-23 15-26-33.png","/storage/emulated/0/MapIt/Pictures/Burlington /187/187_2017-10-23 15-26-33.png","2017-10-23-15-25-40","50.9363","0.8849"
186,43.37655931231075,-79.74008025781222,52.829150390625,"WPT 186","Burlington ","0","2in metal pole","Very good","No","No","name","Default","","Scott ct","Very good","al","east","","","","","","","","","186","186_2017-10-23 15-23-46.png","/storage/emulated/0/MapIt/Pictures/Burlington /186/186_2017-10-23 15-23-46.png","2017-10-23-15-23-42","52.8292","0.8988"
185,43.37592950954422,-79.7408224801602,53.87724609375,"WPT 185","Burlington ","0","2in metal pole","Very good","Yes","No","name","Default","","Murray cr","Very good","al","east","","","","","","","","","","","","2017-10-23-15-22-23","53.8772","0.6055"
184,43.37593454275884,-79.7408311230829,54.6716796875,"WPT 184","Burlington ","0","2in metal pole","Very good","Yes","No","name","Default","","mericourt rd","Very good","al","north","","","","","","","","","","","","2017-10-23-15-22-04","54.6717","0.7769"
183,43.37591407690434,-79.74082113705481,50.755908203125,"WPT 183","Burlington ","0","streetlight pole","Good","No","No","yield","Default","","","Good","al","north","","","","","","","","","183","183_2017-10-23 15-21-49.png","/storage/emulated/0/MapIt/Pictures/Burlington /183/183_2017-10-23 15-21-49.png","2017-10-23-15-21-34","50.7559","0.8087"
182,43.37811873159535,-79.7404273493903,51.412890625,"WPT 182","Burlington ","0","2in metal pole","Very good","Yes","No","name","Default","","Murray cr","Very good","al","north","","","","","","","","","","","","2017-10-23-15-19-57","51.4129","0.5917"
